result,base,more_ctvs,fewer_ctvs,more_techs,fewer_techs,failure_50,failure_200,no_hlvs,no_weather,historic_weather,manual_resets_only,minor_repairs_only,medium_repairs_only,major_repairs_only,major_replacements_only,annual_service_only
availability - time based,0.956429361711835,0.9471054042339629,0.942054475773337,0.9427053392189069,0.9505560498220641,0.9745364825714025,0.8041539773245734,0.9797298453326033,0.9689774101195364,0.926883341889117,0.9969163472944612,0.996813549365818,0.9985532724244913,0.9997999646409343,0.9756624121726435,0.9840332432247468
availability - production based,0.9555364606510434,0.9471242407198013,0.9426282640543181,0.9424258825539236,0.9498766920843111,0.9736305205953655,0.8026655209949906,0.9797278611935487,0.0,0.9271525188164752,0.9967903751378129,0.9967326966970353,0.998381474965676,0.9997872408071427,0.9758348165680955,0.9838953311807473
capacity factor - net,0.4555734586489035,0.4515627439490373,0.4494191861426681,0.4493226962190513,0.45287503692741127,0.464200207924613,0.3826888063368768,0.4671072519352435,0.0,0.44697034716874856,0.4752421884980382,0.47521468900656233,0.4760007810598975,0.4766710114831417,0.4652511555143033,0.46909418680802684
capacity factor - gross,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.0,0.48205644440641876,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145,0.476739531055145
power production,9585848704.0,9501458133.0,9456354933.0,9454324661.5,9529070457.0,9767366551.0,8052262327.0,9828534478.0,0.0,7522832761.5,9999703956.0,9999125331.5,10015665714.5,10029768220.5,9789479833.5,9870342131.0
task completion rate,0.9988686502998076,0.9990722486373652,0.9984874927283304,0.9983652498832322,0.9982503207745247,0.9989716166186754,0.9954551910240023,0.9975416844805473,0.9990818317456674,0.9958647171761926,0.9994812381117067,1.0,1.0,0.9696969696969697,0.9622641509433962,0.9988095238095238
annual direct O&M cost,16.971040292673898,20.7734944593251,17.018994459306697,17.8299218759979,16.417073125963,14.972983000737496,18.0961173763809,6.067686126237301,16.231586125958,16.892707219725622,3.5179861254826,3.7558861252321996,3.9231361250426007,4.0191861250082,14.702373625000098,5.070136125479101
annual vessel cost,11.841832292674166,13.172786459324817,11.818136459306945,11.78382187599816,11.917103125963255,10.899325000737711,12.189759376381165,2.1839781262377134,10.815228125958255,11.730824219725662,1.9179781254827408,1.9179781252322747,1.917978125042612,2.183978125008199,11.396415625000099,1.917978125479258
ctv cost,1.917978126001867,3.196630209318518,1.9179781259653452,1.9179781259928614,1.917978125957856,1.9179781257353112,1.9179781263690656,1.9179781262377138,1.917978125951656,1.9177539072209115,1.9179781254827408,1.9179781252322747,1.917978125042612,1.9179781250001,1.9179781250001,1.917978125479258
fsv cost,0.26619791667229925,0.2660000000062993,0.26734583334159945,0.26600000000529916,0.26600000000539925,0.2671281250023998,0.26600000001209845,0.266,0.2660000000065995,0.26600000000474977,0.0,0.0,0.0,0.266000000008099,0.0,0.0
hlv cost,9.657656249999999,9.71015625,9.6328125,9.59984375,9.733125,8.71421875,10.00578125,0.0,8.63125,9.5470703125,0.0,0.0,0.0,0.0,9.4784375,0.0
annual repair cost,3.5292000000000003,3.6007,3.60085,3.6460999999999997,3.70005,2.47365,4.30635,2.2837,3.81635,3.561875,0.0,0.2379,0.40515,0.2352,1.70595,1.55215
annual technician cost,1.6000079999999997,4.000007999999999,1.6000079999999997,2.4,0.7999200000000001,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999999,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997,1.6000079999999997
ctv utilization,0.7737019801076741,0.6259695227666758,0.7628433251209051,0.7735194817045351,0.7540834017702346,0.6437631170727256,0.8702436353681905,0.8741673510356783,0.7456884752258417,0.7637462924937258,0.4350761930833105,0.22383429144994982,0.04425586276120084,0.0,0.0,0.44347111962770325
fsv utilization,0.20962199312714777,0.23367697594501718,0.310580204778157,0.2027491408934708,0.2027491408934708,0.09897610921501707,0.44329896907216493,0.0,0.2542955326460481,0.1888412017167382,0.0,0.0,0.0,0.0,0.0,0.0
hlv utilization,0.5166374781085814,0.5503472222222222,0.5219683655536028,0.5300353356890459,0.5795847750865052,0.30538922155688625,0.6277128547579299,0.0,0.6149193548387096,0.516629711751663,0.0,0.0,0.0,0.0,0.0,0.0
