result,requests,requests_100pct_reduction,one_mobilization,one_mobilization_100pct_reduction,two_mobilizations,two_mobilizations_100pct_reduction,three_mobilizations,three_mobilizations_100pct_reduction
availability - time based,0.9668594569929272,0.9045607689186795,0.6183806764610084,0.665479974171281,0.8367343241961382,0.8305698889707941,0.9633256190035372,0.8999187423928137
availability - production based,0.9675679235980725,0.9093012899418625,0.6186023836486467,0.6681854110959765,0.8397339035210188,0.8341396954987153,0.9651222198552253,0.9017588175246335
capacity factor - net,0.5695673289984029,0.5347360386273636,0.36378370049257425,0.3929421675195287,0.4938252986517066,0.490535492874245,0.5675628511091493,0.5303005100886291
capacity factor - gross,0.588645488963039,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938,0.5880602639157938
power production,39942617648.0,37431308809.5,25464713521.0,27505794549.5,34567573375.5,34337288287.0,39729172552.5,37120823586.0
task completion rate,0.9920505247282096,0.9996471667489945,0.9929248759396649,0.9971924815607899,0.9928743696557772,0.9988909709740335,0.9925072229101184,0.999578162899427
total annual costs,26.9479453433052,24.728606969152132,15.089675225962633,15.134911440691482,21.059426673644133,21.110909986359037,25.23425363184414,24.820066119618385
technicians,3.0,2.994503424657534,2.994503424657534,2.994503424657534,2.994503424657534,2.994503424657534,2.994503424657534,2.994503424657534
materials,7.266253399999999,6.6171463,3.9026205,3.9362851,5.9111545,5.93489875,6.992613749999999,6.617571549999999
vessels,16.6816919433058,15.116957244494946,8.192551301305652,8.204122916034466,12.153768748987396,12.181507811702122,15.247136457187372,15.207991144961293
ctv cost,2.5568520822197582,2.5097588533163675,2.5284054679820365,2.543727082710901,2.539352082338716,2.520455728387346,2.5491520822083276,2.5527723949827306
hlv cost,13.29233621525204,12.078448391178581,3.5853958333235645,3.5853958333235645,7.53566666664868,7.586052083314776,10.621656249979043,10.566312499978562
dsv cost,0.5314062500000001,0.5287499999999999,0.5287499999999999,0.525,0.5287499999999999,0.525,0.526328125,0.5389062499999999
cab cost,0.3010973958340003,0.0,1.55000000000005,1.55,1.55,1.55,1.55,1.55
manual reset,0.2874583333333333,9.854127047083276,0.2588489583333333,4.529487837479164,0.2691354166666666,7.770092000479208,0.2577291666666666,9.44356801391668
minor repair,0.5491145833333334,3.8771959903124995,0.4501666666666667,2.3144376448541495,0.5413541666666667,3.206361572541658,0.5795520833333333,3.5481941652499973
major repair,0.8105104166666667,1.0075254228541688,0.511953125,0.7339987526874997,0.605390625,0.9463593225624988,0.6382395833333334,0.9030284252708334
major replacement,8.577631268958333,8.135460786729155,91.9775900043125,77.10912417783335,53.872448075833354,36.39443240027083,9.710630126979163,11.224881838166668
remote reset,0.23733333333333334,3.326472818000003,0.19362500000000002,2.4520410731875013,0.221625,3.0514913428333355,0.23595833333333333,3.3012553052291684
annual service,1.2220520833333335,0.0,1.5857291666666666,0.0,1.4941041666666666,0.0,1.4182604166666666,0.0
bos,0.06973473960416687,3.3007958168333333,0.15628377943749971,2.8810359121666664,0.017322916666666667,3.9565588830625003,0.01103125,5.089242140458333
total downtime,11.854048300229168,29.576281006812433,95.25039461708336,90.09884935654168,57.15796890916669,55.39215489675003,12.977843668645832,33.59188863829168
ctv utilization,0.9092402464065708,0.8060939896806583,0.7653654485049834,0.6705881296008774,0.8760336273428886,0.7696473201888364,0.9166552244954003,0.7986015903482314
hlv utilization,0.3411839592616168,0.3611500701262272,0.4722838137472284,0.4722838137472284,0.4318681318681319,0.44529540481400437,0.3536776212832551,0.36457505957108816
dsv utilization,0.5192307692307693,0.3627450980392157,0.24509803921568626,0.31683168316831684,0.28431372549019607,0.37623762376237624,0.35294117647058826,0.49056603773584906
cab utilization,0.19117647058823528,0.0,0.02262443438914027,0.027149321266968326,0.0,0.013574660633484163,0.0,0.0
